length,diameter,height,whole-weight,shucked-weight,viscera-weight,shell-weight,sex_F,sex_I,sex_M,rings
90,71,23,87.7,36.8,21.6,22.5,0,1,0,11
111,81,24,182.6,91.7,39.2,41.3,1,0,0,9
98,79,24,134.8,66.5,24.7,37.0,0,0,1,9
74,55,17,48.1,20.8,10.7,14.0,1,0,0,5
139,109,37,314.3,132.9,76.7,90.1,0,0,1,13
126,98,38,235.5,98.7,67.3,57.0,0,0,1,11
106,84,33,178.9,63.8,47.8,49.0,0,0,1,11
117,93,32,191.1,91.9,47.2,53.0,0,0,1,7
125,94,34,251.0,105.0,48.3,81.0,1,0,0,10
117,90,30,178.3,79.5,40.7,50.6,0,1,0,8
85,62,19,61.5,27.8,14.9,18.6,0,1,0,7
113,86,30,166.2,84.9,34.7,43.8,0,0,1,10
99,77,25,102.5,41.5,23.1,34.4,0,1,0,10
110,86,28,162.1,73.6,32.2,55.0,1,0,0,9
120,96,18,210.0,91.4,53.7,56.0,0,0,1,8
81,62,24,61.9,27.6,11.6,19.0,1,0,0,13
47,34,11,10.3,3.6,2.1,3.9,0,0,1,7
132,105,38,334.0,130.5,97.5,98.0,1,0,0,11
94,70,25,86.3,38.0,23.3,23.5,0,1,0,6
119,95,33,242.6,124.2,48.7,54.8,0,0,1,9
103,85,27,142.4,53.3,32.1,50.0,1,0,0,11
106,82,26,139.3,60.4,38.7,40.0,1,0,0,10
91,70,21,88.9,42.6,21.4,22.3,0,1,0,7
36,27,16,6.6,2.9,1.4,2.0,0,1,0,5
106,86,28,135.4,59.6,19.3,46.0,0,1,0,8
136,104,37,298.8,123.0,78.7,81.2,1,0,0,11
129,104,35,312.2,141.8,71.1,80.0,0,0,1,8
47,36,12,11.6,4.4,2.9,3.6,0,1,0,6
150,123,41,452.7,164.2,84.6,145.2,1,0,0,12
134,108,35,296.4,147.8,58.5,73.0,0,0,1,10
121,97,30,247.6,126.3,45.2,66.0,0,1,0,11
101,82,30,126.9,48.6,26.7,43.0,1,0,0,17
74,59,20,53.7,23.3,11.2,16.7,1,0,0,7
128,100,34,224.0,99.1,52.9,64.0,1,0,0,12
137,106,34,302.1,147.7,70.5,74.5,1,0,0,10
123,95,31,205.4,89.4,50.0,57.0,1,0,0,9
117,90,30,199.4,81.1,56.6,50.2,0,0,1,11
75,54,17,43.6,18.9,7.8,14.0,0,1,0,7
110,84,26,127.2,58.8,28.8,35.1,0,1,0,8
126,100,37,276.6,108.0,66.3,76.0,1,0,0,10
134,110,34,249.4,94.4,49.1,80.0,0,0,1,21
85,66,26,88.1,30.4,18.7,31.0,0,0,1,9
113,85,32,188.5,69.9,43.7,55.0,0,0,1,17
37,26,9,5.8,2.4,1.5,1.9,0,1,0,4
107,90,27,161.5,64.4,36.2,50.0,1,0,0,13
106,83,24,141.2,67.1,32.7,26.9,0,0,1,9
131,98,35,271.7,127.9,58.8,73.0,0,0,1,10
79,63,21,70.3,23.7,18.2,23.9,1,0,0,16
66,52,16,38.0,15.3,7.7,13.0,0,1,0,7
91,71,24,89.9,35.4,20.8,30.0,1,0,0,9
111,85,28,192.6,88.0,44.8,48.0,1,0,0,7
96,74,25,108.7,48.8,20.2,33.0,0,1,0,9
125,94,30,224.8,111.2,46.3,57.4,0,0,1,9
128,102,35,273.6,103.0,53.2,114.0,0,0,1,21
131,106,35,252.7,97.2,52.7,83.0,0,0,1,15
89,64,24,75.6,30.4,16.5,24.0,0,1,0,8
102,78,27,153.8,78.7,29.1,38.0,0,0,1,8
70,50,15,33.9,16.7,7.1,8.2,0,1,0,6
130,102,34,313.4,144.9,69.8,78.2,1,0,0,10
81,60,18,53.8,20.6,13.4,22.0,0,1,0,6
127,100,34,286.9,122.2,61.8,83.6,0,0,1,12
55,40,13,20.7,9.5,4.1,6.0,0,1,0,7
79,58,19,60.0,31.6,13.6,15.6,0,1,0,7
99,79,24,110.6,44.8,27.5,33.4,0,0,1,8
81,61,17,52.1,22.9,11.9,17.0,0,0,1,8
95,75,25,115.7,55.5,17.0,31.0,1,0,0,10
107,80,26,131.4,56.7,32.4,35.0,0,1,0,7
108,88,27,191.8,47.7,44.2,60.0,1,0,0,17
125,103,33,243.4,133.4,41.3,62.3,0,0,1,10
104,79,27,126.6,59.7,25.9,35.0,0,1,0,9
106,85,26,156.2,78.1,40.1,43.0,0,1,0,9
111,87,29,193.7,99.7,33.6,47.7,0,0,1,9
93,72,21,99.6,42.8,23.2,28.0,0,1,0,15
113,88,23,183.7,80.8,35.7,58.0,0,0,1,11
112,87,26,155.4,70.8,34.6,44.4,0,1,0,9
118,92,26,220.4,91.0,41.1,66.0,0,0,1,12
74,56,19,57.3,30.1,13.8,15.9,0,1,0,7
104,82,25,139.7,58.9,32.5,43.0,1,0,0,10
128,102,40,278.1,122.0,66.3,82.0,1,0,0,12
110,88,25,153.0,66.0,42.5,49.0,1,0,0,9
102,74,42,236.6,101.6,58.4,68.6,1,0,0,9
102,82,29,159.2,77.3,36.3,39.1,0,0,1,8
136,116,40,357.4,117.0,90.6,120.0,1,0,0,19
109,85,27,168.9,74.6,42.0,47.0,0,0,1,10
72,54,17,39.2,18.1,6.8,10.6,0,1,0,7
64,45,17,28.3,13.5,5.9,8.1,0,1,0,6
123,94,33,225.6,89.3,43.9,68.0,0,0,1,10
104,79,29,154.0,84.8,28.4,37.9,0,1,0,7
121,92,34,224.4,69.4,60.9,63.0,1,0,0,13
124,90,40,171.6,85.7,30.5,48.1,0,0,1,8
82,64,19,58.1,28.2,12.6,14.6,0,1,0,5
125,98,24,175.3,91.2,36.0,46.6,0,0,1,10
74,55,28,44.3,19.4,9.1,12.3,0,1,0,6
104,87,39,194.6,59.7,42.7,71.0,0,0,1,18
68,50,18,35.8,15.5,6.6,11.0,0,1,0,6
95,76,28,137.8,63.3,26.3,39.1,1,0,0,7
71,57,19,45.5,19.1,9.5,14.3,0,1,0,6
111,85,26,129.6,56.7,26.6,42.1,0,1,0,8
78,58,18,54.9,27.0,9.1,15.6,0,1,0,8
115,96,30,189.3,87.1,52.1,50.1,0,0,1,9
111,88,30,218.4,83.2,42.4,88.1,0,0,1,15
140,105,38,320.3,141.4,73.0,86.0,1,0,0,10
113,98,31,184.9,81.0,43.9,51.0,1,0,0,11
82,60,18,60.8,25.8,14.2,19.1,0,1,0,8
116,91,26,170.4,82.0,34.5,45.0,0,0,1,8
111,86,30,156.6,69.0,35.1,49.4,0,1,0,9
148,113,41,423.8,193.1,103.7,96.4,1,0,0,12
143,107,38,335.1,177.8,62.6,84.0,0,0,1,10
126,103,32,267.2,110.6,64.1,70.0,1,0,0,11
123,96,35,223.6,89.2,63.9,60.0,0,0,1,9
110,86,32,185.9,63.4,34.7,71.0,0,0,1,13
89,67,22,82.2,39.7,18.7,21.8,0,1,0,8
58,45,15,28.0,10.3,4.7,8.0,1,0,0,5
83,62,19,62.2,22.5,12.5,23.0,0,1,0,8
110,85,30,161.2,75.2,34.2,49.0,0,1,0,14
138,105,38,298.4,128.5,78.1,84.0,1,0,0,12
144,118,41,349.9,155.1,84.5,96.0,1,0,0,11
96,74,27,126.3,68.9,20.3,32.2,0,0,1,7
124,95,32,225.9,92.6,53.7,66.0,1,0,0,10
97,78,24,119.8,50.2,26.9,33.8,0,0,1,8
89,71,30,97.0,36.2,25.0,31.0,1,0,0,11
123,95,26,168.5,70.6,38.3,50.2,0,1,0,8
86,70,21,73.2,34.1,17.1,22.0,0,1,0,6
86,64,22,73.5,33.5,20.4,21.0,0,1,0,8
129,100,31,244.1,122.9,47.2,63.7,1,0,0,10
84,66,20,70.4,32.7,17.8,20.0,0,1,0,9
135,108,35,310.9,132.9,55.6,102.4,0,0,1,12
142,106,39,374.9,135.1,81.3,137.1,1,0,0,12
56,41,20,23.3,10.9,5.7,6.0,0,0,1,5
70,52,19,42.2,17.2,11.2,13.6,0,1,0,7
124,100,40,244.2,92.1,52.6,86.0,0,0,1,12
116,91,39,371.8,189.0,85.2,88.2,0,0,1,9
109,87,33,199.1,64.9,53.3,65.0,0,0,1,19
98,78,30,114.6,45.0,24.8,34.0,0,0,1,21
95,73,26,96.1,38.1,22.8,29.5,1,0,0,12
91,75,25,106.6,46.6,21.2,37.0,0,1,0,8
116,85,30,168.8,72.9,37.0,54.1,1,0,0,9
129,103,37,292.1,116.7,63.1,82.0,0,0,1,19
98,84,25,121.8,47.8,28.7,44.0,0,0,1,14
110,86,30,174.9,82.6,38.1,49.6,0,0,1,9
87,69,23,83.6,44.4,14.7,21.2,0,1,0,7
141,114,37,352.2,149.4,74.5,97.6,1,0,0,10
92,70,25,103.3,37.7,22.9,37.0,0,0,1,9
121,99,34,247.7,105.6,49.3,78.0,1,0,0,14
74,55,18,41.3,19.2,7.9,11.6,0,1,0,7
84,64,23,75.2,33.8,18.4,20.0,0,1,0,5
97,73,21,104.1,39.0,24.6,36.4,0,1,0,8
116,86,26,159.6,73.0,34.6,45.7,0,0,1,10
75,56,16,43.3,18.7,18.5,14.0,0,1,0,7
129,102,32,248.3,116.3,55.2,63.0,1,0,0,9
142,110,34,322.8,148.6,69.0,90.0,1,0,0,11
116,87,30,167.8,69.7,41.4,38.4,1,0,0,7
66,49,17,34.2,13.1,7.3,11.0,0,0,1,11
125,97,34,287.4,117.1,58.6,95.0,0,0,1,11
58,42,12,23.9,11.2,4.7,6.0,0,1,0,6
70,51,18,35.7,17.1,6.1,10.5,0,1,0,8
116,95,33,207.7,82.8,52.0,61.0,1,0,0,13
130,102,31,281.4,144.3,59.6,67.0,0,0,1,9
126,97,33,246.6,131.3,46.3,60.7,0,0,1,10
142,115,43,401.8,197.9,89.5,100.4,0,0,1,11
132,101,37,305.6,138.0,60.5,88.2,1,0,0,11
101,71,25,120.2,50.0,24.1,37.0,0,1,0,8
118,98,33,241.4,111.8,47.0,61.8,0,0,1,10
122,90,32,227.2,82.8,62.2,60.0,1,0,0,9
111,90,29,183.0,80.0,49.2,57.0,0,0,1,11
90,67,21,85.0,37.3,18.2,23.0,1,0,0,9
128,99,34,245.3,98.0,75.4,57.5,1,0,0,11
114,88,31,223.2,95.5,46.3,54.0,0,0,1,13
114,90,29,150.2,56.5,43.9,44.3,0,1,0,10
110,87,34,176.8,57.5,32.9,56.0,1,0,0,14
134,97,35,251.3,107.1,64.4,77.2,0,1,0,9
59,43,15,25.8,10.0,5.9,8.0,0,0,1,7
134,102,31,255.6,112.1,60.9,71.6,1,0,0,11
94,72,20,94.1,32.7,17.8,27.7,1,0,0,8
53,41,14,21.1,7.8,8.2,7.0,0,1,0,5
83,67,20,71.6,33.8,13.4,21.0,0,1,0,7
104,76,28,105.0,35.5,23.0,37.0,0,1,0,11
117,83,31,139.7,60.0,29.2,39.0,1,0,0,12
65,50,16,34.7,15.3,6.9,9.8,0,1,0,7
74,57,19,45.2,22.7,10.3,13.5,0,1,0,8
126,96,30,210.5,78.4,67.2,57.0,1,0,0,12
91,67,21,84.4,45.8,17.3,20.0,0,1,0,6
148,119,38,464.7,229.9,102.3,101.0,0,0,1,11
115,85,28,172.7,78.6,45.4,40.0,0,0,1,11
114,94,28,174.2,77.0,42.2,46.3,1,0,0,10
74,56,22,46.1,18.9,9.3,15.0,1,0,0,10
106,86,27,125.1,49.0,29.1,42.7,0,1,0,10
88,68,24,87.6,42.3,16.6,24.0,0,1,0,9
108,87,29,194.0,85.7,44.0,52.8,0,1,0,17
122,95,35,204.8,81.8,52.2,64.4,0,0,1,9
118,95,32,189.1,76.3,36.8,54.0,0,0,1,19
105,77,26,121.4,47.1,25.0,39.0,0,1,0,8
107,87,30,143.4,69.5,28.9,38.8,0,0,1,9
101,82,27,131.4,58.2,26.6,39.0,1,0,0,15
110,85,32,194.0,57.7,27.8,96.0,0,0,1,20
61,46,16,31.2,13.5,6.9,9.6,1,0,0,7
88,67,22,77.7,35.0,16.7,22.2,0,1,0,7
138,108,37,323.9,106.6,70.6,111.0,0,0,1,24
129,100,36,255.7,106.9,59.9,69.0,1,0,0,13
55,39,14,16.0,6.2,4.3,5.0,1,0,0,5
135,107,37,311.5,140.7,80.4,80.0,1,0,0,11
135,107,32,282.0,118.4,63.5,84.0,1,0,0,16
96,75,23,135.3,64.1,21.3,34.0,0,0,1,6
129,105,32,301.5,149.1,49.0,86.5,0,0,1,11
94,71,36,88.2,30.5,23.3,27.0,1,0,0,8
116,87,31,175.7,85.0,33.7,48.5,1,0,0,10
105,84,31,168.4,85.6,28.3,40.9,0,0,1,9
125,93,31,194.4,80.8,36.9,70.0,0,1,0,14
82,65,20,71.1,29.2,14.4,21.0,0,0,1,9
80,61,32,73.6,34.6,14.1,21.0,1,0,0,7
102,80,26,114.7,43.8,27.3,39.0,1,0,0,13
131,106,39,277.6,113.4,54.7,82.0,0,0,1,13
82,60,20,56.4,25.1,11.4,17.5,0,1,0,7
120,90,30,192.5,87.5,44.5,55.5,1,0,0,9
115,92,32,220.6,107.6,44.2,49.8,1,0,0,9
105,82,33,160.1,52.7,39.7,50.0,0,0,1,13
121,95,35,276.4,121.8,46.5,79.7,1,0,0,10
132,101,38,280.9,125.1,67.5,74.9,1,0,0,9
104,83,28,127.5,61.6,26.7,33.6,0,1,0,9
74,58,20,50.0,20.5,10.1,17.0,0,1,0,10
108,83,31,140.4,64.4,33.4,38.0,0,1,0,10
55,43,15,23.1,9.7,5.8,7.0,0,1,0,7
120,90,32,228.4,107.8,45.0,61.4,0,0,1,10
76,47,20,51.6,21.1,10.8,16.0,0,0,1,7
113,78,25,148.8,70.4,26.0,33.7,0,0,1,11
88,71,33,87.0,31.8,21.0,28.0,0,1,0,16
97,77,26,113.6,50.1,35.6,30.8,0,1,0,7
122,96,28,212.5,103.2,45.0,58.3,0,0,1,11
59,44,13,25.9,10.4,5.6,7.0,0,1,0,6
124,97,35,254.2,106.2,61.5,74.0,1,0,0,11
89,70,26,83.9,33.9,18.9,23.9,0,1,0,7
122,99,37,221.7,74.1,62.7,66.0,1,0,0,12
82,63,19,56.1,22.8,6.9,22.0,0,1,0,7
99,80,28,155.5,40.3,36.0,50.0,0,0,1,15
113,88,35,224.4,78.6,40.0,75.0,0,0,1,20
115,93,28,191.6,88.4,36.3,54.1,1,0,0,9
96,76,25,124.9,67.9,21.7,33.3,0,1,0,8
137,104,30,274.7,143.7,58.6,64.0,0,0,1,11
84,63,22,80.5,37.1,16.6,20.3,0,1,0,8
110,86,28,168.0,75.0,43.6,38.9,1,0,0,8
115,88,32,192.3,96.6,33.2,55.0,0,0,1,13
150,110,39,366.5,166.0,73.2,88.0,1,0,0,11
135,103,30,262.4,111.2,56.9,82.3,0,0,1,11
144,114,40,365.5,183.8,73.2,97.0,0,0,1,10
121,94,28,187.8,67.7,40.2,64.0,0,1,0,13
40,29,5,6.9,2.2,1.5,2.0,0,1,0,5
128,97,37,283.9,134.7,69.3,65.1,1,0,0,11
107,77,36,216.7,99.1,45.9,60.8,0,1,0,8
126,101,34,218.3,92.3,53.2,60.0,0,0,1,9
91,71,21,74.4,27.6,15.3,27.0,0,1,0,9
84,64,22,61.8,23.0,12.9,18.9,0,1,0,6
109,77,30,223.7,108.5,48.9,56.9,1,0,0,9
101,78,30,137.0,72.4,26.2,31.2,0,1,0,8
59,43,15,23.2,7.4,5.9,8.0,0,1,0,8
137,102,33,309.0,137.2,75.5,81.1,0,0,1,10
106,87,32,176.6,63.2,32.8,67.0,0,0,1,15
78,57,19,54.2,22.0,12.0,16.0,0,0,1,8
106,80,33,154.4,57.1,39.5,46.0,1,0,0,12
74,55,19,51.4,20.3,11.0,16.5,0,1,0,6
91,70,21,80.2,31.5,16.6,27.0,0,0,1,9
59,45,16,24.8,9.7,6.4,8.0,0,1,0,9
89,65,25,91.0,35.7,22.5,28.0,1,0,0,9
85,62,21,73.0,31.8,16.5,21.0,0,1,0,6
124,97,31,209.8,92.4,46.2,50.0,0,0,1,10
134,109,35,341.4,139.9,77.4,115.0,1,0,0,13
148,114,36,374.5,182.3,85.4,89.2,0,0,1,10
133,100,34,259.5,120.7,58.2,71.9,0,1,0,9
100,76,31,132.0,53.1,27.3,43.0,0,0,1,19
124,97,44,302.2,101.9,56.8,102.0,1,0,0,17
58,42,13,19.4,7.5,4.4,6.0,0,1,0,6
113,94,39,228.4,77.4,51.6,70.0,0,0,1,17
107,85,27,154.2,75.3,36.3,35.9,1,0,0,8
121,95,35,215.2,92.6,43.9,67.0,1,0,0,9
75,61,18,64.9,27.9,11.3,19.0,0,0,1,5
140,115,40,347.3,155.1,79.3,92.2,1,0,0,11
137,108,32,333.5,166.6,75.5,95.0,1,0,0,11
72,53,18,43.3,19.2,7.4,14.7,1,0,0,10
66,43,15,22.9,9.0,5.3,7.0,0,0,1,6
102,76,27,136.2,68.7,28.4,34.0,0,0,1,9
128,101,36,259.4,118.0,62.5,72.6,0,0,1,11
128,101,38,247.1,88.7,62.1,73.0,1,0,0,14
122,95,30,228.4,124.0,47.4,49.0,0,0,1,9
70,52,19,44.2,19.7,8.6,14.0,0,1,0,8
128,98,27,220.0,97.6,50.1,58.5,0,1,0,10
80,63,17,53.5,23.2,11.7,15.3,0,1,0,6
104,85,33,197.7,79.2,45.0,64.0,1,0,0,16
105,82,30,141.6,54.8,30.2,50.0,1,0,0,12
106,82,28,150.9,69.9,34.3,42.1,0,0,1,8
123,98,34,229.0,98.3,41.6,68.6,0,0,1,13
130,101,35,241.5,102.1,52.4,78.0,1,0,0,10
101,80,25,116.6,49.2,26.0,35.0,1,0,0,7
130,103,32,232.5,99.0,40.6,66.0,0,1,0,17
109,81,26,131.6,65.4,28.9,34.8,0,1,0,8
132,103,40,329.3,149.8,84.4,80.2,0,0,1,11
77,60,23,68.7,32.9,17.0,20.5,0,0,1,6
92,70,20,94.2,50.4,15.4,24.6,0,1,0,8
110,85,25,192.8,109.5,31.8,43.0,1,0,0,8
119,93,30,183.8,86.7,35.3,52.4,0,0,1,9
146,111,36,337.9,131.1,39.3,98.7,1,0,0,10
89,66,24,69.4,24.0,16.8,21.0,0,1,0,11
111,85,26,153.3,52.8,33.6,55.0,0,0,1,13
88,69,24,97.4,39.3,21.6,32.0,0,1,0,14
108,82,26,112.0,47.5,21.3,35.0,0,0,1,7
90,70,27,112.0,46.2,27.4,29.0,1,0,0,13
114,91,30,190.4,77.9,43.1,54.9,0,0,1,9
117,92,30,241.2,116.2,43.2,64.6,0,0,1,10
93,72,21,97.6,37.6,16.9,38.0,0,0,1,10
81,61,21,72.5,31.3,14.1,25.0,0,1,0,10
104,82,28,132.5,55.5,31.1,39.2,0,1,0,11
96,71,22,89.9,40.2,17.8,28.0,0,1,0,8
133,101,32,258.3,126.2,58.5,64.0,1,0,0,11
106,84,31,162.0,94.5,22.2,38.4,0,1,0,10
102,83,29,150.2,65.9,36.7,40.6,0,0,1,8
83,61,26,64.0,26.1,15.1,21.0,1,0,0,8
140,107,32,345.1,126.0,52.7,108.0,0,0,1,19
132,113,39,352.1,138.4,65.3,100.0,1,0,0,16
106,83,28,144.8,62.1,33.5,41.0,0,0,1,10
111,86,25,140.1,67.9,27.1,41.9,0,1,0,8
102,81,25,138.5,65.4,31.0,36.1,0,0,1,7
130,101,36,293.8,142.3,66.7,76.0,0,0,1,9
104,79,36,128.0,31.6,22.0,49.0,1,0,0,22
103,79,27,103.2,40.3,26.4,32.4,1,0,0,9
131,103,40,274.6,88.6,67.5,98.0,0,0,1,16
144,115,43,445.2,179.1,81.0,124.0,1,0,0,13
119,93,25,159.8,64.9,40.0,46.0,0,0,1,10
112,86,29,179.9,92.8,35.5,46.8,0,0,1,9
125,97,27,260.5,122.0,53.5,72.1,1,0,0,14
129,99,38,307.8,122.3,81.6,89.0,0,0,1,12
64,48,17,26.2,12.3,5.3,7.6,0,1,0,6
134,105,34,280.1,143.0,60.5,77.4,0,0,1,9
83,60,20,67.1,30.9,13.7,19.0,0,0,1,7
116,90,31,165.5,64.2,39.5,48.9,0,0,1,8
140,115,41,359.5,145.9,78.7,103.3,1,0,0,13
87,66,21,67.0,31.2,11.1,21.0,0,1,0,8
116,90,28,202.6,76.0,43.2,72.0,0,0,1,14
71,55,18,50.2,19.4,10.6,16.0,0,1,0,7
94,75,24,111.3,45.2,24.4,39.0,0,0,1,12
110,84,23,133.6,58.5,27.4,41.8,0,1,0,11
83,64,20,60.1,24.3,11.5,20.8,0,0,1,11
105,81,25,131.4,59.7,30.1,33.6,0,1,0,10
114,89,29,148.1,61.2,34.4,36.5,0,1,0,12
83,69,27,77.3,25.6,14.0,29.6,0,0,1,13
106,81,26,132.3,58.9,27.9,38.0,0,1,0,9
68,50,15,35.3,15.7,8.1,10.0,0,1,0,7
120,93,33,207.6,99.5,44.1,50.2,0,0,1,9
128,101,33,288.7,122.9,60.7,78.0,0,0,1,18
122,97,36,255.9,114.7,57.1,71.0,1,0,0,7
67,52,17,38.4,19.4,6.0,10.8,0,1,0,6
94,70,29,103.5,37.4,24.7,36.0,1,0,0,11
98,76,27,108.3,43.5,19.0,38.0,0,0,1,11
75,60,20,49.3,20.8,9.5,16.6,0,0,1,11
116,92,30,209.8,104.1,38.7,61.0,0,0,1,10
76,65,22,62.1,24.0,14.8,21.0,1,0,0,10
100,75,28,120.8,48.4,28.3,35.8,1,0,0,15
69,51,19,36.6,15.0,7.7,12.0,0,1,0,6
85,65,19,75.7,34.1,16.0,20.0,0,0,1,7
116,92,30,223.1,111.5,45.1,58.0,1,0,0,7
113,93,30,225.7,75.4,70.5,66.0,0,0,1,16
